temperature,mu_b,mu_s,mu_q,nb,ns,nq,epsilon,pressure,entropy
nan,3.180894254821000e+03,nan,nan,1.817000000000000e+00,nan,nan,3.178885959500000e+03,2.600798901510000e+03,nan
nan,3.201823471911000e+03,nan,nan,1.827000000000000e+00,nan,nan,3.210859931564000e+03,2.638871551617000e+03,nan
nan,3.222864587456000e+03,nan,nan,1.837000000000000e+00,nan,nan,3.242833903629000e+03,2.677568343528000e+03,nan
nan,3.243339940080000e+03,nan,nan,1.847000000000000e+00,nan,nan,3.274807875694000e+03,2.715640993634000e+03,nan
nan,3.264569047920000e+03,nan,nan,1.857000000000000e+00,nan,nan,3.307342794637000e+03,2.754961927350000e+03,nan
nan,3.285871195246000e+03,nan,nan,1.867000000000000e+00,nan,nan,3.340438660459000e+03,2.794282861066000e+03,nan
nan,3.307278882721000e+03,nan,nan,1.877000000000000e+00,nan,nan,3.373534526280000e+03,2.834227936587000e+03,nan
nan,3.328459673667000e+03,nan,nan,1.887000000000000e+00,nan,nan,3.406630392102000e+03,2.874173012108000e+03,nan
nan,3.349417156327000e+03,nan,nan,1.897000000000000e+00,nan,nan,3.439726257923000e+03,2.914118087630000e+03,nan
nan,3.370776285044000e+03,nan,nan,1.907000000000000e+00,nan,nan,3.473383070623000e+03,2.954687304956000e+03,nan
nan,3.392530774277000e+03,nan,nan,1.917000000000000e+00,nan,nan,3.507600830201000e+03,2.995880664087000e+03,nan
nan,3.413768378889000e+03,nan,nan,1.927000000000000e+00,nan,nan,3.541257642901000e+03,3.037074023218000e+03,nan
nan,3.435398516589000e+03,nan,nan,1.937000000000000e+00,nan,nan,3.575475402479000e+03,3.078891524154000e+03,nan
nan,3.457094573203000e+03,nan,nan,1.947000000000000e+00,nan,nan,3.610254108936000e+03,3.120709025091000e+03,nan
nan,3.478887829956000e+03,nan,nan,1.957000000000000e+00,nan,nan,3.645032815392000e+03,3.163150667832000e+03,nan
nan,3.500459497927000e+03,nan,nan,1.967000000000000e+00,nan,nan,3.679811521849000e+03,3.205592310573000e+03,nan
nan,3.522128641085000e+03,nan,nan,1.977000000000000e+00,nan,nan,3.714590228305000e+03,3.248658095119000e+03,nan
nan,3.543861983546000e+03,nan,nan,1.987000000000000e+00,nan,nan,3.749929881640000e+03,3.291723879665000e+03,nan
nan,3.565971100586000e+03,nan,nan,1.997000000000000e+00,nan,nan,3.785830481853000e+03,3.335413806017000e+03,nan
